player_id,hand_id,is_bot,player_profile,table_size,position,small_blind_bb,big_blind_bb,posted_blind_bb,stack_bb,effective_stack_bb,previous_action,facing_raise,facing_3bet,pot_size_bb,current_bet_bb,amount_to_call_bb,pot_odds,card_1,card_2,hand_class,hand_family,hand_strength,gto_fold_probability,gto_call_probability,gto_raise_probability,gto_action,player_action,chosen_action_probability,gto_l1_distance,is_gto_correct,decision_time,bet_size_bb,bet_size
P00001,1,1,tight_grinder_bot,6,BB,0.5,1.0,1.0,99.50824085863151,88.67916372112136,limped,0,0,4.5,1.0,0.0,0.0,7c,6h,76o,marginal,40.0,0.20937459416695775,0.4844756601636692,0.30614974566937303,call,call,0.4844756601636692,1.0310486796726615,1,1.7496045197978682,1.0,1.0
P00001,2,1,tight_grinder_bot,6,UTG,0.5,1.0,0.0,166.71286391515406,171.7551270998533,unopened,0,0,1.5,0.0,0.0,0.0,6s,5c,65o,marginal,35.0,0.7500217886786288,0.18859510391787912,0.061383107403492204,fold,call,0.18859510391787912,1.622809792164242,0,2.0845451602812943,1.0,1.0
P00001,3,1,tight_grinder_bot,6,BTN,0.5,1.0,0.0,141.9544843283085,136.4483984105169,open_raise,1,0,4.542899521222197,2.60992702835443,2.60992702835443,0.3648805140548124,4h,7c,74o,trash,31.0,0.6584341921568316,0.3122535770918121,0.029312230751356323,fold,fold,0.6584341921568316,0.6831316156863368,1,2.516173409614897,0.0,0.0
P00001,4,1,tight_grinder_bot,6,UTG,0.5,1.0,0.0,98.40527284602119,110.99535630331738,unopened,0,0,1.5,0.0,0.0,0.0,2d,Ac,A2o,standard,56.0,0.20937459416695775,0.4844756601636692,0.30614974566937303,call,raise,0.30614974566937303,1.387700508661254,0,2.4643054452942645,2.215478307819697,2.215478307819697
P00001,5,1,tight_grinder_bot,6,SB,0.5,1.0,0.5,71.37615211387477,70.22200487079478,unopened,0,0,1.5,1.0,0.5,0.25,7s,7d,77,medium_pair,73.0,0.0,0.3914842837998178,0.6085157162001823,raise,raise,0.6085157162001823,0.7829685675996355,1,2.7509172331510126,2.4218493513607324,2.4218493513607324
P00001,6,1,tight_grinder_bot,6,UTG,0.5,1.0,0.0,121.77748689437792,131.46158627771158,unopened,0,0,1.5,0.0,0.0,0.0,Kc,2h,K2o,marginal,50.0,0.3298240561429482,0.4354505040542217,0.23472543980283014,call,raise,0.23472543980283014,1.5305491203943398,0,3.451676142186162,2.3160304067622706,2.3160304067622706
P00001,7,1,tight_grinder_bot,6,BB,0.5,1.0,1.0,71.57809863959315,96.1631664499526,three_bet,1,1,15.802736457726851,9.863258420266513,8.863258420266513,0.3593310735734475,5h,5d,55,low_pair,65.0,0.053571714676436955,0.6873637174701004,0.2590645678534627,call,call,0.6873637174701004,0.6252725650597992,1,2.1427785090979636,8.863258420266513,8.863258420266513
P00001,8,1,tight_grinder_bot,6,UTG,0.5,1.0,0.0,64.16445318607943,84.34625261768932,unopened,0,0,1.5,0.0,0.0,0.0,6c,2s,62o,trash,22.0,0.9052979659668761,0.07503774664215195,0.01966428739097206,fold,fold,0.9052979659668761,0.18940406806624793,1,2.2729466528012785,0.0,0.0
P00001,9,1,tight_grinder_bot,6,UTG,0.5,1.0,0.0,97.76757221200937,119.33830621174505,unopened,0,0,1.5,0.0,0.0,0.0,Ac,3d,A3o,standard,58.0,0.14994929772013688,0.50398169598874,0.34606900629112314,call,fold,0.14994929772013688,1.7001014045597262,0,1.9971244581187113,0.0,0.0
P00001,10,1,tight_grinder_bot,6,BB,0.5,1.0,1.0,96.56483015013644,108.51324678093553,unopened,0,0,1.5,1.0,0.0,0.0,6h,Td,T6o,marginal,42.0,0.14994929772013688,0.50398169598874,0.34606900629112314,call,raise,0.34606900629112314,1.3078619874177537,0,2.8953499331822066,2.4021340104483655,2.4021340104483655
P00001,11,1,tight_grinder_bot,6,UTG,0.5,1.0,0.0,83.81896497382564,86.85358275346444,unopened,0,0,1.5,0.0,0.0,0.0,Kc,8d,K8o,standard,62.0,0.03641544646441475,0.5313468770739288,0.43223767646165645,call,call,0.5313468770739288,0.9373062458521424,1,2.683939334621398,1.0,1.0
P00001,12,1,tight_grinder_bot,6,SB,0.5,1.0,0.5,100.81507850414674,101.18608584053912,unopened,0,0,1.5,1.0,0.5,0.25,6h,8s,86o,marginal,40.0,0.47533548866314734,0.361704040634531,0.16296047070232164,fold,raise,0.16296047070232164,1.6740790585953567,0,2.231421341586392,2.664122792552676,2.664122792552676
P00001,13,1,tight_grinder_bot,6,UTG,0.5,1.0,0.0,153.34168599380516,153.76860371762066,unopened,0,0,1.5,0.0,0.0,0.0,Jd,7h,J7o,marginal,47.0,0.41845821562491786,0.39223878268918405,0.1893030016858981,fold,call,0.39223878268918405,1.215522434621632,0,2.1345535993277083,1.0,1.0
P00001,14,1,tight_grinder_bot,6,CO,0.5,1.0,0.0,107.80012560633057,107.96794826871408,unopened,0,0,1.5,0.0,0.0,0.0,4d,2c,42o,trash,20.0,0.8253242206593829,0.13482008039472734,0.039855698945889695,fold,call,0.13482008039472734,1.7303598392105453,0,1.9864676574625333,1.0,1.0
P00001,15,1,tight_grinder_bot,6,MP,0.5,1.0,0.0,88.60557503436834,81.58708541517234,unopened,0,0,1.5,0.0,0.0,0.0,8s,4d,84o,trash,32.0,0.7322252348579588,0.20094029512541292,0.06683447001662837,fold,fold,0.7322252348579588,0.5355495302840825,1,2.1660324192411853,0.0,0.0
P00001,16,1,tight_grinder_bot,6,BB,0.5,1.0,1.0,106.31567550628506,117.68747082446465,three_bet,1,1,10.8091005100277,7.093634088519046,6.093634088519046,0.36051172980276,Jc,5c,J5s,marginal,49.0,0.5746862751818678,0.3800686272549368,0.04524509756319546,fold,fold,0.5746862751818678,0.8506274496362645,1,2.222528546239387,0.0,0.0
P00001,17,1,tight_grinder_bot,6,BB,0.5,1.0,1.0,81.07151544092167,70.72369992721515,limped,0,0,4.5,1.0,0.0,0.0,4s,7c,74o,trash,31.0,0.47533548866314734,0.361704040634531,0.16296047070232164,fold,raise,0.16296047070232164,1.6740790585953567,0,2.157319275490382,2.288563219952185,2.288563219952185
P00001,18,1,tight_grinder_bot,6,BTN,0.5,1.0,0.0,115.55629848220349,108.09028607915239,limped,0,0,3.5,1.0,1.0,0.2222222222222222,Ts,6d,T6o,marginal,42.0,0.14994929772013688,0.50398169598874,0.34606900629112314,call,fold,0.14994929772013688,1.7001014045597262,0,2.0643831748225763,0.0,0.0
P00001,19,1,tight_grinder_bot,6,BTN,0.5,1.0,0.0,152.70089664571339,150.66425908866884,unopened,0,0,1.5,0.0,0.0,0.0,Qs,2s,Q2s,marginal,51.0,0.0,0.4796082896652144,0.5203917103347856,raise,call,0.4796082896652144,1.0407834206695712,0,2.3638549148564154,1.0,1.0
P00001,20,1,tight_grinder_bot,6,UTG,0.5,1.0,0.0,124.24712187568029,126.7864386692209,unopened,0,0,1.5,0.0,0.0,0.0,4s,5h,54o,trash,30.0,0.8253242206593829,0.13482008039472734,0.039855698945889695,fold,fold,0.8253242206593829,0.34935155868123413,1,0.8636031264183822,0.0,0.0
P00001,21,1,tight_grinder_bot,6,UTG,0.5,1.0,0.0,113.37082144347026,99.4216760817911,unopened,0,0,1.5,0.0,0.0,0.0,6d,8s,86o,marginal,40.0,0.651468130851125,0.25512486443204285,0.09340700471683215,fold,raise,0.09340700471683215,1.8131859905663357,0,2.229358346032523,2.4446583895714866,2.4446583895714866
P00001,22,1,tight_grinder_bot,6,MP,0.5,1.0,0.0,79.21862136807178,90.310914454321,unopened,0,0,1.5,0.0,0.0,0.0,Ac,9s,A9o,standard,70.0,0.0,0.4345119967538002,0.5654880032461997,raise,raise,0.5654880032461997,0.8690239935076005,1,2.218280411894765,2.516571906407466,2.516571906407466
